channel,merchant_category,transacoes,pct_volume,fraudes,pct_fraudes,taxa_fraude_pct,lift,valor_fraude
app,viagem,1237,4.1,99,13.2,8.0,3.2,15578.67
app,alimentacao,2409,8.0,92,12.3,3.82,1.53,12514.79
pos,viagem,612,2.0,23,3.1,3.76,1.5,1947.62
atm,viagem,269,0.9,10,1.3,3.72,1.49,2207.66
app,saude,1189,4.0,41,5.5,3.45,1.38,4803.04
app,varejo,3600,12.0,117,15.6,3.25,1.3,15924.61
web,viagem,892,3.0,28,3.7,3.14,1.25,6232.45
app,eletronico,1777,5.9,55,7.3,3.1,1.24,7829.57
app,servicos,1809,6.0,51,6.8,2.82,1.13,7259.23
web,saude,849,2.8,21,2.8,2.47,0.99,3629.63
