variavel,coeficiente,odds_ratio,ic95_inf,ic95_sup,p_valor
seg_high_risk,2.4342,11.4066,9.1390,14.2368,0.000000
seg_standard,1.0589,2.8832,2.3222,3.5798,0.000000
canal_app,1.0679,2.9092,2.2231,3.8069,0.000000
canal_web,0.3184,1.3749,1.0165,1.8597,0.038794
canal_atm,0.3885,1.4747,1.0032,2.1679,0.048123
cat_viagem,0.9443,2.5710,2.0137,3.2824,0.000000
cat_saude,0.1262,1.1345,0.8346,1.5423,0.420400
cat_alimentacao,0.0502,1.0515,0.8204,1.3478,0.691641
cat_servicos,-0.0774,0.9255,0.6943,1.2338,0.597844
cat_eletronico,-0.1465,0.8637,0.6460,1.1547,0.322560
tipo_saque,0.1049,1.1106,0.8755,1.4088,0.387456
tipo_transferencia,0.0539,1.0553,0.8469,1.3151,0.631388
tipo_pagamento,0.2401,1.2714,0.9705,1.6656,0.081377
madrugada,0.4518,1.5712,1.3167,1.8749,0.000001
risk_score_10pts,0.0367,1.0374,1.0079,1.0678,0.012640
credit_score_100pts,0.0910,1.0953,1.0293,1.1654,0.004085
log_valor,-0.0156,0.9846,0.9222,1.0512,0.641131
